accountsservice	23.13.9-2ubuntu6.1	arm64
acl	2.3.2-1build1.1	arm64
adduser	3.137ubuntu1	all
adwaita-icon-theme	46.0-1	all
ai-workbench-desktop-repo	25.10-2	arm64
aisleriot	1:3.22.31-1build2	arm64
alsa-base	1.0.25+dfsg-0ubuntu7	all
alsa-utils	1.2.9-1ubuntu5	arm64
anacron	2.3-39ubuntu2	arm64
apache2-bin	2.4.58-1ubuntu8.15	arm64
apg	2.2.3.dfsg.1-5build3	arm64
apparmor	4.0.1really4.0.1-0ubuntu0.24.04.7	arm64
apport	2.28.3-0ubuntu0.1	all
apport-core-dump-handler	2.28.3-0ubuntu0.1	all
apport-gtk	2.28.3-0ubuntu0.1	all
apport-symptoms	0.25	all
appstream	1.0.2-1build6	arm64
apt	2.8.3	arm64
apt-config-icons	1.0.2-1build6	all
apt-config-icons-hidpi	1.0.2-1build6	all
apt-utils	2.8.3	arm64
aptdaemon	1.1.1+bzr982-0ubuntu44	all
aptdaemon-data	1.1.1+bzr982-0ubuntu44	all
apturl	0.5.2ubuntu23	arm64
apturl-common	0.5.2ubuntu23	arm64
aspell	0.60.8.1-1build1	arm64
aspell-en	2020.12.07-0-1	all
at-spi2-common	2.52.0-1build1	all
at-spi2-core	2.52.0-1build1	arm64
autoconf	2.71-3	all
automake	1:1.16.5-1.3ubuntu1	all
autotools-dev	20220109.1	all
avahi-autoipd	0.8-13ubuntu6.2	arm64
avahi-daemon	0.8-13ubuntu6.2	arm64
avahi-utils	0.8-13ubuntu6.2	arm64
baobab	46.0-1build1	arm64
base-files	13ubuntu10.3	arm64
base-passwd	3.6.3build1	arm64
bash	5.2.21-2ubuntu4	arm64
bash-completion	1:2.11-8	all
bc	1.07.1-3ubuntu4	arm64
bcache-tools	1.0.8-5build1	arm64
bind9-dnsutils	1:9.18.39-0ubuntu0.24.04.7	arm64
bind9-host	1:9.18.39-0ubuntu0.24.04.7	arm64
bind9-libs	1:9.18.39-0ubuntu0.24.04.7	arm64
binutils	2.42-4ubuntu2.10	arm64
binutils-aarch64-linux-gnu	2.42-4ubuntu2.10	arm64
binutils-common	2.42-4ubuntu2.10	arm64
bison	2:3.8.2+dfsg-1build2	arm64
bluez	5.72-0ubuntu5.5	arm64
bluez-cups	5.72-0ubuntu5.5	arm64
bluez-obexd	5.72-0ubuntu5.5	arm64
bolt	0.9.7-1	arm64
bpfcc-tools	0.29.1+ds-1ubuntu7	all
bpftrace	0.20.2-1ubuntu4.3	arm64
branding-ubuntu	0.11	all
brltty	6.6-4ubuntu5	arm64
bsdextrautils	2.39.3-9ubuntu6.6	arm64
bsdutils	1:2.39.3-9ubuntu6.6	arm64
btrfs-progs	6.6.3-1.1build2	arm64
bubblewrap	0.9.0-1ubuntu0.1	arm64
build-essential	12.10ubuntu1	arm64
busybox-initramfs	1:1.36.1-6ubuntu3.1	arm64
busybox-static	1:1.36.1-6ubuntu3.1	arm64
byobu	6.11-0ubuntu1.1	all
bzip2	1.0.8-5.1ubuntu0.1	arm64
ca-certificates	20260601~24.04.1	all
ca-certificates-java	20240118	all
cheese	44.1-1build4	arm64
cheese-common	44.1-1build4	all
chrpath	0.16-2build1	arm64
cifs-utils	2:7.0-2ubuntu0.5	arm64
cloud-guest-utils	0.33-1	all
cloud-init	26.1-0ubuntu1~24.04.1	all
cloud-initramfs-copymods	0.49~24.04.1	all
cloud-initramfs-dyn-netconf	0.49~24.04.1	all
cmake	3.28.3-1build7	arm64
cmake-data	3.28.3-1build7	all
colord	1.4.7-1build2	arm64
colord-data	1.4.7-1build2	all
command-not-found	23.04.0	all
console-setup	1.226ubuntu1.1	all
console-setup-linux	1.226ubuntu1.1	all
containerd.io	2.2.1-1~ubuntu.24.04~noble	arm64
coreutils	9.4-3ubuntu6.3	arm64
cpio	2.15+dfsg-1ubuntu2.1	arm64
cpp	4:13.2.0-7ubuntu1	arm64
cpp-13	13.3.0-6ubuntu2~24.04.1	arm64
cpp-13-aarch64-linux-gnu	13.3.0-6ubuntu2~24.04.1	arm64
cpp-aarch64-linux-gnu	4:13.2.0-7ubuntu1	arm64
cracklib-runtime	2.9.6-5.1build2	arm64
cron	3.0pl1-184ubuntu2	arm64
cron-daemon-common	3.0pl1-184ubuntu2	all
cryptsetup	2:2.7.0-1ubuntu4.2	arm64
cryptsetup-bin	2:2.7.0-1ubuntu4.2	arm64
cryptsetup-initramfs	2:2.7.0-1ubuntu4.2	all
cuda-cccl-13-0	13.0.85-1	arm64
cuda-command-line-tools-13-0	13.0.3-1	arm64
cuda-compiler-13-0	13.0.3-1	arm64
cuda-compute-repo-lowpri	25.10-2	arm64
